Col1,Col2,Col3,Col4
81,266,109,55
129,365,291,182
139,329,116,100
197,32,54,381
295,64,242,355
235,70,267,329
64,306,233,253
152,151,137,197
297,281,80,289
269,189,116,191
197,223,86,43
190,203,179,272
87,355,88,83
246,262,375,88
230,267,343,55
204,150,373,257
371,253,357,60
79,117,210,336
297,52,253,224
113,292,149,335
249,365,230,347
113,307,314,139
292,251,48,134
265,106,268,108
71,93,151,74
217,264,39,234
381,277,336,274
167,296,358,263
56,37,386,374
137,79,55,280
358,336,369,319
28,390,102,167
55,142,51,66
252,40,259,105
170,304,354,216
380,21,53,297
257,241,174,337
300,45,351,363
311,122,398,305
79,32,139,179
271,113,237,304
372,70,31,157
230,102,107,398
246,50,83,89
184,30,362,378
255,213,396,192
150,26,112,263
373,132,183,82
113,129,237,213
119,195,277,75
283,162,396,228
65,64,175,124
306,360,72,318
342,135,218,149
301,146,353,252
46,387,377,268
92,332,46,147
321,250,237,367
331,335,253,136
283,240,196,229
363,257,222,112
289,77,227,280
74,196,207,400
369,362,307,50
261,296,117,115
163,147,288,164
256,38,317,227
370,154,233,53
387,51,69,156
357,168,42,194
388,285,46,328
97,122,211,207
142,130,345,379
167,206,289,69
99,67,363,159
375,347,285,91
376,226,136,354
346,42,159,391
115,276,285,260
103,149,264,25
243,289,247,163
78,57,313,348
291,224,290,216
143,145,177,278
250,373,183,305
151,114,87,72
151,88,235,308
60,248,275,157
200,360,200,327
284,99,176,194
130,60,280,247
142,50,349,211
225,181,85,131
189,62,162,123
372,135,154,221
74,302,271,185
342,387,202,139
257,55,54,47
111,179,362,28
150,302,273,356
310,126,175,274
171,23,343,210
268,367,394,71
59,190,198,280
355,106,107,141
73,157,368,291
258,332,71,388
135,312,244,364
53,350,347,110
210,255,267,148
219,53,316,49
186,71,22,177
64,58,223,105
102,267,162,354
84,309,162,77
102,235,249,110
182,44,298,146
271,126,87,109
179,107,158,99
248,237,295,199
243,140,250,263
276,32,359,363
252,38,330,298
111,96,286,60
