Col1,Col2,Col3,Col4
267,378,36,248
48,82,135,336
69,338,60,351
396,69,310,180
159,343,20,152
96,298,326,129
196,369,199,55
222,179,319,217
237,258,293,160
277,324,321,159
332,232,325,378
314,32,80,343
342,299,66,246
335,367,387,231
88,62,65,99
369,186,310,113
352,249,65,79
122,194,177,104
43,82,330,339
96,37,377,55
294,143,370,400
36,125,112,280
78,156,97,232
301,22,207,177
85,114,193,43
367,224,218,186
89,66,46,139
324,162,317,47
121,337,128,271
137,400,364,87
214,244,183,229
280,226,362,192
140,247,379,101
112,186,140,113
310,169,255,46
167,51,69,333
220,158,37,85
88,393,87,71
199,131,195,234
192,175,177,169
77,235,287,285
203,84,361,229
156,64,23,314
109,288,259,181
157,157,354,168
154,334,367,178
116,329,295,397
178,267,183,132
354,232,65,43
400,327,30,33
350,354,165,108
95,199,216,83
235,174,131,185
198,34,271,186
330,332,267,156
329,37,272,323
353,317,396,33
55,79,95,96
326,152,240,29
358,207,285,135
58,106,52,339
198,195,327,342
146,232,201,278
184,196,140,73
338,43,135,102
158,191,271,100
339,339,398,248
239,170,380,123
288,42,269,218
165,46,215,68
183,37,239,365
123,163,227,135
211,241,72,346
264,139,117,237
326,67,124,97
209,359,315,237
389,31,230,291
326,370,28,285
348,330,161,25
250,263,385,48
324,23,103,277
55,50,36,194
68,163,33,171
248,278,94,260
353,344,72,307
351,293,103,258
82,283,171,272
60,364,303,371
295,162,247,343
319,204,244,191
160,71,98,393
400,304,354,347
305,242,132,157
398,126,39,366
68,131,113,106
350,163,377,177
164,327,241,294
351,94,363,140
189,226,154,226
122,348,189,192
118,307,206,124
312,179,342,285
227,81,205,170
88,248,69,328
110,223,305,369
357,278,135,153
291,51,387,130
90,62,259,370
214,168,276,160
316,368,182,315
319,34,22,169
271,346,324,80
72,162,38,181
113,374,280,377
56,97,343,317
391,381,305,133
207,260,220,147
310,194,283,325
322,309,20,117
93,25,304,94
347,311,297,132
31,391,51,283
158,392,74,269
366,310,141,333
197,203,274,352
22,144,126,235
48,261,308,380
233,321,322,85
297,179,86,71
264,50,241,212
181,62,233,27
146,223,272,377
87,125,111,307
256,362,87,318
141,194,389,313
129,384,35,78
104,364,104,362
157,176,347,91
31,58,173,132
288,275,289,313
74,352,136,181
318,288,393,132
116,311,287,77
105,276,90,109
190,66,240,183
59,296,360,210
303,158,114,75
22,397,205,260
293,167,142,173
184,300,68,175
363,341,354,66
97,216,127,396
346,201,293,373
186,204,113,33
223,43,345,181
333,88,391,232
45,32,336,284
179,69,127,134
233,301,206,74
51,370,232,235
250,263,267,77
258,271,295,255
263,210,207,110
381,248,357,35
243,121,233,199
77,235,64,337
237,260,148,72
326,289,204,367
260,54,345,45
157,201,108,82
213,288,92,359
171,238,325,135
286,316,238,337
93,379,74,97
345,328,235,60
41,328,362,34
91,93,341,167
249,64,218,343
257,152,280,382
301,150,122,37
214,268,249,27
29,255,136,96
77,146,202,287
156,306,361,398
280,44,274,179
137,223,335,292
228,190,101,189
52,192,232,382
84,61,100,196
53,122,75,249
35,201,204,157
283,66,296,382
245,390,299,326
146,211,274,111
275,32,111,83
38,238,368,228
179,41,388,294
252,112,276,120
59,230,318,66
23,237,75,288
378,232,88,223
160,82,289,70
