Col1,Col2,Col3,Col4
366,87,152,359
191,28,223,392
340,224,248,127
76,306,163,24
31,234,182,51
396,125,236,371
288,38,178,248
64,185,101,41
56,57,281,249
133,156,53,192
332,390,267,119
194,159,28,244
244,242,199,296
266,163,126,318
50,134,122,175
193,139,167,264
357,289,250,167
256,345,207,73
243,139,396,342
60,316,124,148
137,264,25,77
195,276,120,108
287,336,153,184
280,398,231,160
38,291,276,228
228,246,89,235
40,161,56,44
147,385,254,38
341,219,180,78
353,95,126,134
114,108,328,158
50,254,256,244
384,161,347,168
389,166,296,232
52,310,273,378
50,389,163,53
205,31,66,154
59,218,317,196
218,320,273,295
104,353,381,293
49,234,129,365
295,276,320,40
283,212,309,327
346,20,232,152
394,120,156,21
375,71,309,346
54,107,162,127
113,241,147,130
251,127,113,262
366,310,209,77
275,220,167,191
379,380,365,40
89,166,295,325
187,200,132,258
79,248,115,343
250,377,358,333
80,228,320,151
117,174,277,105
382,33,171,127
162,44,221,274
243,188,172,185
176,99,77,397
214,167,251,373
179,250,95,202
28,356,395,333
137,395,383,86
77,159,395,394
373,235,129,153
179,382,383,310
309,179,129,255
267,121,301,91
172,127,135,211
167,354,374,254
121,359,74,374
274,246,86,98
31,335,250,392
361,219,185,218
247,147,339,383
101,78,213,23
256,42,368,168
118,28,176,126
169,118,390,290
314,386,199,21
164,37,198,119
133,137,111,49
192,236,76,338
295,116,312,159
83,249,48,313
376,32,343,103
135,197,201,61
24,273,200,361
269,107,110,114
199,128,360,348
41,305,391,345
105,221,352,333
92,177,382,41
234,28,339,379
344,105,38,356
217,196,355,92
366,308,339,130
378,294,358,42
140,252,82,114
360,266,49,280
213,178,177,119
68,292,338,87
192,63,388,290
355,330,397,35
172,88,238,26
243,197,374,39
103,357,179,328
223,63,187,39
256,41,299,265
284,212,344,85
207,60,221,253
357,79,251,211
54,71,49,61
263,312,137,133
98,191,155,290
47,65,98,187
145,178,70,301
342,299,22,368
46,194,228,88
118,303,83,388
396,190,322,308
293,54,118,170
240,329,70,74
249,129,356,33
104,49,180,101
73,293,71,162
73,84,80,322
153,79,321,80
215,239,232,168
266,170,92,197
346,96,232,393
369,160,323,123
299,150,374,370
242,371,392,250
255,353,183,179
62,216,186,338
168,222,301,120
341,297,219,107
398,253,171,299
395,298,220,154
229,40,375,113
284,200,263,265
181,141,366,348
323,197,125,355
214,110,237,41
196,232,27,72
177,248,234,302
232,304,335,107
23,122,25,163
286,318,151,360
184,139,276,398
272,338,171,347
343,294,140,242
328,190,326,168
142,110,240,377
89,237,144,399
372,108,224,210
107,145,89,45
100,141,95,127
323,66,148,264
301,197,277,341
96,181,196,339
201,185,184,374
338,226,134,311
350,273,114,281
216,25,52,180
282,161,66,206
273,42,50,218
194,389,204,316
168,205,72,254
270,148,265,28
358,217,327,380
61,86,26,336
112,228,105,34
179,49,63,267
22,74,341,29
43,327,252,216
290,265,155,352
197,159,32,35
212,324,231,284
145,115,25,306
28,146,223,306
22,376,396,25
135,320,249,43
335,297,380,305
300,287,24,225
271,355,184,188
394,324,108,252
207,184,98,321
314,253,129,378
277,246,98,338
29,303,370,70
323,160,331,179
166,162,368,104
96,168,217,355
390,231,328,167
100,46,55,79
161,121,158,63
129,338,389,391
239,392,89,114
286,184,369,66
123,23,156,76
235,303,99,46
79,143,132,42
25,40,233,231
329,25,353,135
352,52,380,231
196,341,394,347
374,162,193,373
236,25,73,37
229,246,79,153
202,20,25,225
131,297,30,140
223,259,25,84
323,316,75,345
201,224,202,321
170,208,81,294
20,258,30,292
372,113,332,159
332,351,57,320
235,106,302,149
252,292,28,87
274,193,315,285
91,319,335,232
384,251,255,126
355,209,378,267
130,54,399,122
94,184,103,232
292,292,208,98
312,300,386,122
262,243,253,148
220,91,96,113
227,380,227,135
253,271,287,296
211,257,354,118
377,102,302,320
207,208,363,142
288,219,287,202
362,198,316,385
274,54,66,337
44,267,214,104
118,96,57,341
310,380,110,371
256,267,210,292
383,152,123,246
136,123,184,21
239,240,39,56
218,228,63,21
328,210,107,375
295,154,131,378
377,196,234,88
347,277,114,141
144,252,150,55
209,93,390,286
205,123,334,105
200,307,42,334
54,322,251,250
371,261,160,137
260,400,85,242
382,389,374,324
45,117,42,65
50,336,341,86
255,374,261,308
38,151,114,224
163,365,212,47
105,125,136,82
329,28,287,115
129,52,217,348
317,33,306,323
184,214,392,310
375,107,365,312
331,118,317,346
219,231,77,397
57,215,299,166
298,164,46,101
28,396,330,393
375,399,197,111
155,222,325,118
21,279,96,141
363,54,113,282
365,100,33,355
379,80,83,191
211,35,351,64
90,309,292,145
386,95,68,224
115,341,99,90
254,38,202,336
315,361,311,140
343,227,73,239
107,47,45,46
308,56,56,92
97,201,304,206
172,171,284,108
269,189,136,394
198,48,131,24
328,147,391,109
26,116,300,204
98,30,359,102
192,158,369,121
393,352,313,103
249,398,368,58
103,204,303,351
320,316,92,64
277,61,223,100
318,251,275,366
129,331,107,370
117,288,318,325
30,214,400,150
225,41,319,167
394,79,207,217
374,171,181,161
120,83,253,257
201,170,118,398
85,155,191,393
225,362,323,284
386,272,352,345
21,231,192,183
192,228,55,104
247,358,158,378
299,28,298,199
20,178,396,271
147,92,104,350
229,224,283,172
248,197,147,52
279,84,348,104
306,145,315,397
367,158,345,385
31,313,37,170
362,332,294,292
298,84,298,112
80,64,74,287
299,377,111,375
186,117,317,126
249,176,220,345
83,380,260,192
334,269,325,286
174,370,358,149
313,85,168,165
121,323,170,225
198,280,303,296
234,30,190,271
359,353,337,365
208,144,199,282
370,255,394,76
20,313,340,242
212,325,311,77
27,36,255,56
379,316,352,368
370,304,288,66
106,248,336,117
278,256,271,104
199,320,110,302
316,250,79,209
159,27,380,161
283,55,354,356
326,29,321,357
227,52,143,240
169,104,49,217
93,290,370,87
154,104,217,76
106,233,164,276
148,30,384,321
193,289,397,285
118,129,160,397
134,324,93,385
114,288,143,259
221,357,397,59
348,170,368,140
93,253,233,139
53,332,133,353
83,388,134,312
324,53,65,146
77,267,69,284
81,116,100,329
312,133,232,116
95,254,115,311
238,333,352,388
132,72,151,159
126,225,133,33
310,31,349,171
127,160,108,293
134,55,234,218
164,257,260,247
393,144,328,23
97,190,383,309
229,120,109,390
283,79,372,25
243,341,238,240
352,373,282,20
339,117,66,74
149,155,178,271
392,273,25,348
134,322,360,222
58,73,140,214
90,92,73,77
289,86,195,326
44,379,213,243
192,184,363,52
95,179,389,90
362,329,272,383
114,123,322,215
342,191,39,156
198,223,23,294
83,79,23,314
335,325,251,274
266,333,351,72
89,36,209,276
192,212,210,150
276,202,120,128
146,250,66,129
262,376,126,394
220,275,221,397
129,274,240,210
282,79,53,172
260,91,171,45
177,277,298,346
37,283,327,37
180,291,313,399
367,53,299,88
262,355,204,394
32,114,357,334
89,91,215,315
61,142,338,74
222,269,223,355
34,284,272,263
347,237,380,109
380,32,182,348
315,281,163,240
286,132,159,255
128,159,221,163
20,378,133,347
271,70,71,314
140,191,78,366
288,182,153,382
66,34,379,277
24,329,374,303
101,363,361,177
266,150,57,289
182,330,277,262
77,111,223,364
247,309,220,376
232,65,63,387
63,237,212,379
74,63,338,153
132,351,130,269
377,211,297,26
383,264,204,49
217,342,246,192
28,392,367,92
322,41,294,290
112,298,348,231
266,374,140,240
39,71,120,368
397,351,147,206
364,387,147,65
371,153,91,124
220,240,133,327
58,35,256,79
93,330,119,39
344,249,112,237
287,267,385,322
237,34,95,123
259,388,319,258
285,399,80,284
112,320,321,359
157,280,286,344
131,207,302,141
142,226,121,383
319,124,64,33
363,220,292,61
97,35,340,227
32,63,189,75
270,282,289,53
344,82,270,85
49,377,359,81
300,298,241,278
237,112,102,189
344,126,290,340
107,249,283,111
347,273,286,43
124,34,256,319
228,356,134,336
373,60,120,128
304,216,85,133
101,205,160,186
203,375,310,362
273,66,332,141
29,285,31,253
39,67,130,94
365,203,357,372
322,108,38,93
353,180,307,41
83,283,67,93
340,45,61,342
86,159,154,154
283,219,194,242
211,265,346,249
274,154,283,252
315,135,231,256
25,356,142,316
315,247,167,108
51,162,318,122
94,375,268,173
184,114,149,143
190,230,163,333
168,261,177,119
55,383,235,349
191,183,30,36
183,376,34,328
221,400,179,161
258,347,77,361
303,27,56,383
126,393,168,154
26,210,164,184
325,175,61,319
303,108,20,151
335,391,269,198
207,24,292,349
223,360,256,210
132,397,204,367
268,34,116,68
63,166,381,147
259,382,33,106
370,130,288,346
335,93,66,257
140,237,43,189
364,198,267,111
342,103,24,182
199,70,254,248
44,51,358,170
352,251,160,324
267,97,336,318
157,96,171,143
180,242,93,369
374,298,159,115
202,217,322,37
183,118,71,107
48,31,38,164
166,93,46,337
395,202,251,256
356,169,235,84
305,373,41,144
312,100,273,179
51,299,210,247
207,318,191,296
183,274,69,215
158,90,215,30
