Col1,Col2,Col3,Col4
71,87,329,198
395,307,216,87
359,368,355,269
304,133,356,135
354,299,172,250
55,69,140,332
202,88,69,231
139,371,300,254
174,187,374,188
222,77,267,141
250,214,335,382
196,146,205,396
338,102,357,20
329,166,81,92
332,315,291,251
308,213,261,258
97,159,49,145
168,385,177,48
264,372,349,388
155,200,374,75
21,153,184,164
236,26,206,320
366,292,95,205
316,268,48,138
27,337,202,165
161,110,367,132
54,201,68,258
111,199,177,51
175,25,56,176
232,333,136,50
364,322,150,350
149,207,276,392
396,239,369,147
211,318,372,237
28,245,154,129
394,40,188,121
372,329,394,343
85,358,109,86
211,153,121,296
394,206,78,227
214,45,294,163
50,329,61,71
77,307,139,199
387,187,175,29
326,305,281,177
150,181,160,65
254,390,235,279
115,339,205,229
168,120,231,245
43,64,113,227
210,129,122,243
126,274,237,216
179,152,277,67
273,96,158,157
208,353,175,376
215,351,398,145
132,352,99,291
38,42,128,21
361,286,324,274
132,271,313,271
379,193,297,199
172,212,131,176
317,330,195,213
108,99,301,323
155,122,176,226
350,314,291,185
64,120,390,390
89,53,271,184
20,382,136,345
289,258,200,374
104,115,237,168
257,171,289,37
321,317,185,225
78,299,79,56
139,113,173,98
183,73,312,64
246,386,174,284
361,196,251,251
245,373,258,78
103,53,379,174
342,254,254,153
209,160,127,310
173,248,167,47
28,392,395,272
161,130,32,172
222,30,296,215
133,263,270,107
73,135,303,151
250,203,266,47
199,317,26,349
69,183,287,215
385,104,284,345
68,272,346,137
342,394,47,266
307,187,46,255
249,196,235,109
328,201,342,184
391,147,88,140
31,259,42,207
49,43,213,111
366,373,116,293
320,38,313,27
158,332,223,383
393,151,60,338
156,116,244,73
398,322,335,136
83,211,40,134
216,194,93,140
83,125,69,140
279,257,161,150
74,130,223,97
293,328,198,220
212,192,238,85
145,76,357,106
93,65,262,35
338,255,21,121
319,187,298,267
136,192,298,120
153,259,34,222
267,67,239,155
101,302,62,80
302,371,265,377
172,216,291,292
367,80,141,265
314,146,357,282
368,21,55,306
162,148,305,344
236,360,242,290
260,142,296,51
349,330,311,351
120,167,105,186
29,172,22,165
342,304,125,37
104,114,59,91
260,76,96,227
216,123,77,236
217,210,139,183
55,244,284,82
333,286,41,305
320,61,65,218
188,360,86,184
248,387,134,100
187,335,39,256
56,272,168,388
114,351,40,395
257,129,298,148
27,144,320,366
223,250,272,167
119,255,389,119
306,244,318,313
235,307,87,160
52,383,20,324
155,301,309,220
75,363,332,87
280,296,86,69
123,226,236,145
155,354,201,82
209,166,159,131
294,206,341,98
252,97,327,162
369,262,98,281
358,63,293,44
242,61,393,275
371,155,43,97
99,367,305,228
119,193,145,224
382,291,228,120
61,372,29,333
263,88,63,66
24,315,255,186
100,359,216,241
387,149,329,271
63,113,46,396
187,379,107,49
182,113,119,390
367,307,152,277
387,26,64,23
23,87,314,398
289,386,23,333
182,268,311,77
387,46,293,355
342,125,44,186
304,112,193,398
30,309,252,116
237,389,203,295
297,204,214,310
52,337,394,343
311,197,286,150
395,289,355,150
217,397,378,116
90,374,284,232
124,323,83,399
324,234,182,187
172,365,167,87
149,201,63,62
246,347,311,373
204,87,196,161
195,46,302,346
316,187,330,111
58,178,296,149
301,146,352,37
207,146,186,369
93,155,202,23
374,168,148,367
134,21,78,176
288,352,121,46
60,340,29,310
157,212,93,266
318,165,289,175
286,145,128,286
386,337,366,281
334,36,324,299
375,218,101,252
165,50,122,104
266,160,36,255
306,172,204,119
375,269,226,110
361,204,22,116
66,128,227,317
178,341,309,386
397,322,293,54
119,93,34,52
250,134,95,273
130,183,164,29
57,87,73,391
316,35,326,228
267,247,131,346
103,326,160,345
183,131,252,245
154,278,116,163
344,88,168,195
63,347,250,215
287,246,34,154
223,358,339,72
347,52,233,209
321,29,239,60
323,242,166,378
340,243,310,338
197,260,198,181
172,340,113,214
152,90,308,224
223,261,84,359
220,399,33,390
94,303,196,181
175,394,399,228
42,212,96,104
221,75,272,346
135,375,236,146
143,320,391,31
314,294,343,265
163,322,312,387
66,221,369,31
149,198,260,93
194,259,277,140
160,363,194,60
141,38,152,301
287,174,397,337
326,77,254,27
37,142,329,311
400,60,133,143
300,335,65,240
348,322,399,392
275,336,196,142
136,356,168,23
200,126,109,362
99,203,121,125
297,380,337,72
273,193,174,239
104,108,72,258
162,43,43,23
318,290,255,35
179,284,266,382
122,350,359,346
320,92,100,183
40,368,362,223
246,352,210,32
397,181,76,326
48,137,65,382
379,149,197,82
35,357,23,139
211,277,65,24
183,381,136,190
190,355,173,80
294,193,221,68
361,64,325,198
349,289,200,201
117,323,289,26
320,92,347,282
75,314,44,187
198,295,367,134
226,335,237,323
65,134,237,325
147,364,316,216
50,342,302,173
393,306,387,157
140,289,23,213
400,98,270,371
52,87,90,359
246,110,122,280
186,317,229,43
305,54,230,310
337,193,172,94
90,230,171,331
59,146,353,320
247,369,396,282
399,184,76,188
116,34,83,171
178,399,343,337
329,299,270,260
113,46,383,214
140,366,276,201
80,29,90,240
184,338,220,241
270,122,279,152
351,221,262,213
124,361,351,161
194,65,342,163
217,121,92,101
174,235,249,330
180,149,80,68
391,364,197,361
312,346,69,374
36,182,359,332
